Designator,Mid X,Mid Y,Layer,Rotation
C1,17.60,12.81,Top,180.0
C2,24.54,-12.40,Top,0.0
C3,24.54,-11.35,Top,0.0
C4,24.54,-5.11,Top,0.0
C5,24.54,-4.06,Top,0.0
C6,24.54,-3.02,Top,0.0
C7,24.54,-1.98,Top,0.0
C8,24.54,-0.94,Top,0.0
C9,24.54, 0.10,Top,0.0
C10,24.54, 1.14,Top,0.0
C11,24.54, 2.18,Top,0.0
C12,24.54, 4.27,Top,0.0
C13,24.54, 7.39,Top,0.0
C14,24.54, 9.83,Top,0.0
C15,24.54, 8.76,Top,0.0
C16,24.54,11.20,Top,0.0
C17,24.54,13.28,Top,0.0
C18,24.54,-6.15,Top,0.0
C19,24.54,-7.19,Top,0.0
C20,11.54, 6.53,Top,270.0
C21,18.13, 1.11,Top,0.0
C22,24.54,-8.23,Top,0.0
C23,21.10,-0.12,Top,270.0
C24,21.60, 3.24,Top,0.0
D1,13.44, 1.40,Top,180.0
D4,14.92, 5.59,Top,180.0
D5,14.92, 3.74,Top,0.0
D6,14.92, 7.45,Top,180.0
J1,32.06, 0.00,Top,90.0
J3,10.11,-11.07,Top,180.0
L1,13.54,10.76,Top,270.0
L2,13.48,-1.91,Top,90.0
Q1,17.87,-1.92,Top,90.0
Q4, 8.95, 7.44,Top,270.0
R1,24.54,-10.31,Top,180.0
R2,24.54,-9.27,Top,0.0
R3,17.61,10.76,Top,0.0
R4,24.54,12.24,Top,0.0
R5,26.59,-11.35,Top,0.0
R6,26.62,13.28,Top,0.0
R7,24.54, 3.23,Top,0.0
R8, 8.44, 9.72,Top,180.0
R9, 8.45, 5.18,Top,180.0
R10,21.60, 5.30,Top,0.0
R11,21.60, 7.36,Top,0.0
R12,24.54, 5.31,Top,0.0
R13,24.54, 6.35,Top,0.0
